Date,HS300
2007-4-30,3558.709
2007-5-31,3927.952
2007-6-29,3764.078
2007-7-31,4460.564
2007-8-31,5296.813
2007-9-28,5580.813
2007-10-31,5688.543
2007-11-30,4737.408
2007-12-28,5338.275
2008-1-31,4620.401
2008-2-29,4674.55
2008-3-31,3790.53
2008-4-30,3959.119
2008-5-30,3611.33
2008-6-30,2791.819
2008-7-31,2805.21
2008-8-29,2391.64
2008-9-26,2243.657
2008-10-31,1663.66
2008-11-28,1829.924
2008-12-31,1817.722
2009-1-23,2032.682
2009-2-27,2140.489
2009-3-31,2507.789
2009-4-30,2622.926
2009-5-27,2759.712
2009-6-30,3166.474
2009-7-31,3734.622
2009-8-31,2830.271
2009-9-30,3004.805
2009-10-30,3280.372
2009-11-30,3511.669
2009-12-31,3575.684
2010-1-29,3204.155
2010-2-26,3281.666
2010-3-31,3345.607
2010-4-30,3067.365
2010-5-31,2773.264
2010-6-30,2563.07
2010-7-30,2868.846
2010-8-31,2903.188
2010-9-30,2935.574
2010-10-29,3379.983
2010-11-30,3136.985
2010-12-31,3128.261
2011-1-31,3076.508
2011-2-28,3239.559
2011-3-31,3223.288
2011-4-29,3192.723
2011-5-31,3001.556
2011-6-30,3044.089
2011-7-29,2972.079
2011-8-31,2846.776
2011-9-30,2581.351
2011-10-31,2695.307
2011-11-30,2521.52
2011-12-30,2345.742
2012-1-31,2464.26
2012-2-29,2634.143
2012-3-30,2454.899
2012-4-27,2626.157
2012-5-31,2632.042
2012-6-29,2461.612
2012-7-31,2332.922
2012-8-31,2204.868
2012-9-28,2293.106
2012-10-31,2254.82
2012-11-30,2139.661
2012-12-31,2522.952
2013-1-31,2686.882
2013-2-28,2673.327
2013-3-29,2495.083
2013-4-26,2447.306
2013-5-31,2606.426
2013-6-28,2200.639
2013-7-31,2193.021
2013-8-30,2313.91
2013-9-30,2409.037
2013-10-31,2373.718
2013-11-29,2438.944
2013-12-31,2330.026
2014-1-30,2202.45
2014-2-28,2178.971
2014-3-31,2146.305
2014-4-30,2158.659
2014-5-30,2156.464
2014-6-30,2165.118
2014-7-31,2350.251
2014-8-29,2338.287
2014-9-30,2450.988
2014-10-31,2508.325
2014-11-28,2808.819
2014-12-31,3533.705
2015-1-30,3434.39
2015-2-27,3572.843
2015-3-31,4051.204
2015-4-30,4749.886
2015-5-29,4840.829
2015-6-30,4472.9976
2015-7-31,3816.6993
2015-8-31,3366.5359
2015-9-30,3202.9475
2015-10-30,3534.0788
2015-11-30,3566.4122
2015-12-31,3731.0047
2016-1-29,2946.0902
2016-2-29,2877.4666
2016-3-31,3218.0879
2016-4-29,3156.7451
2016-5-31,3169.5598
2016-6-30,3153.921
2016-7-29,3203.9304
2016-8-31,3327.7938
2016-9-30,3253.2848
2016-10-31,3336.2778
2016-11-30,3538.001
2016-12-30,3310.0808
2017-1-26,3387.9606
2017-2-28,3452.8103
2017-3-31,3456.0455
2017-4-28,3439.753
2017-5-31,3492.8845
2017-6-30,3666.7977
2017-7-31,3737.8732
2017-8-31,3822.0928
2017-9-29,3836.5013
2017-10-31,4006.7179
2017-11-30,4006.0993
2017-12-29,4030.8549
2018-1-31,4275.8986
2018-2-28,4023.6415
2018-3-30,3898.4977
2018-4-27,3756.8765
2018-5-31,3802.3759
2018-6-29,3510.9845
2018-7-31,3517.6568
2018-8-31,3334.5036
2018-9-28,3438.8649
2018-10-31,3153.8234
2018-11-30,3172.69
2018-12-28,3010.6536
2019-1-31,3201.6331
2019-2-28,3669.3703
2019-3-29,3872.3412
2019-4-30,3913.211
2019-5-31,3629.7893
2019-6-28,3825.5873
2019-7-31,3835.3589
2019-8-30,3799.5863
2019-9-30,3814.5282
2019-10-31,3886.7519
2019-11-29,3828.6706
2019-12-31,4096.5821
2020-1-23,4003.9013
2020-2-28,3940.0488
2020-3-31,3686.1551
2020-4-30,3912.5772
2020-5-29,3867.0232
2020-6-30,4163.9637
